block_group_geoid,population,lat,lon
420030706002,138,40.453255,-79.926215
420030706002,126,40.451231,-79.926800
420030706002,120,40.451899,-79.929864
420030706002,113,40.453617,-79.925325
420030706002,97,40.451880,-79.927252
420030706002,97,40.451813,-79.925212
420030706002,86,40.452652,-79.927710
420030706002,73,40.452542,-79.925702
420030706002,54,40.450515,-79.928782
420030706002,53,40.451363,-79.929282
420030706002,51,40.451027,-79.929080
420030706002,46,40.451467,-79.928329
420030706002,41,40.452239,-79.928784
420030706002,34,40.452307,-79.924578
420030706002,28,40.450732,-79.927477
420030706002,24,40.452746,-79.924812
420030706002,15,40.450932,-79.930038
420030708001,497,40.459831,-79.923157
420030708001,147,40.458057,-79.922828
420030708001,96,40.458098,-79.923696
420030708001,96,40.456896,-79.920500
420030708001,92,40.458370,-79.920673
420030708001,72,40.458095,-79.918825
420030708001,72,40.457379,-79.920605
420030708001,70,40.457552,-79.921972
420030708001,60,40.458133,-79.924243
420030708001,34,40.457707,-79.919050
420030708001,14,40.459901,-79.924465
420030708001,7,40.459315,-79.921140
420030708002,435,40.455249,-79.921141
420030708002,326,40.456567,-79.918161
420030708002,317,40.454499,-79.916506
420030708002,147,40.456306,-79.921145
420030708002,109,40.454233,-79.920715
420030708002,73,40.453390,-79.920381
420030708002,72,40.454608,-79.919273
420030708002,56,40.455194,-79.919431
420030708002,26,40.455060,-79.918660
420030708002,21,40.455917,-79.919348
420030708002,14,40.455610,-79.918692
420030709001,578,40.454359,-79.934805
420030709001,396,40.455661,-79.935452
420030709001,372,40.452715,-79.939493
420030709001,351,40.455720,-79.937240
420030709001,125,40.454507,-79.939797
420030709001,71,40.454927,-79.936239
420030709001,10,40.455221,-79.942736
420030709002,437,40.452536,-79.947808
420030709002,198,40.449921,-79.946949
420030709002,151,40.451439,-79.947332
420030709003,338,40.447901,-79.946497
420030709003,153,40.448708,-79.945166
420030709003,70,40.450073,-79.941179
420030709003,65,40.448331,-79.940582
420030709003,63,40.449093,-79.943597
420030709003,46,40.448180,-79.942230
420030709003,16,40.449998,-79.942485
420030709003,11,40.447381,-79.946709
420030709004,1143,40.453244,-79.942775
420030709004,256,40.453323,-79.945157
420030709004,89,40.452202,-79.944613
420030709004,48,40.451141,-79.944217
420030802001,132,40.459581,-79.951247
420030802001,84,40.459241,-79.950540
420030802001,67,40.459017,-79.950067
420030802001,64,40.460479,-79.948876
420030802001,64,40.458547,-79.951753
420030802001,63,40.460950,-79.949798
420030802001,49,40.459728,-79.948310
420030802001,48,40.457770,-79.949099
420030802001,47,40.460040,-79.948091
420030802001,43,40.460769,-79.954022
420030802001,43,40.460559,-79.949463
420030802001,43,40.459565,-79.952268
420030802001,43,40.459090,-79.948739
420030802001,42,40.461179,-79.950261
420030802001,39,40.459411,-79.948520
420030802001,32,40.460694,-79.947677
420030802001,30,40.458765,-79.948971
420030802001,28,40.459801,-79.952786
420030802001,27,40.458192,-79.952297
420030802001,25,40.460363,-79.947881
420030802001,24,40.461319,-79.948842
420030802002,74,40.462633,-79.952977
420030802002,59,40.461209,-79.953052
420030802002,56,40.460962,-79.952535
420030802002,56,40.460721,-79.952027
420030802002,54,40.462686,-79.951500
420030802002,48,40.460482,-79.951520
420030802002,46,40.461944,-79.951728
420030802002,44,40.461714,-79.951210
420030802002,43,40.462193,-79.952246
420030802002,42,40.461469,-79.950712
420030802002,29,40.461341,-79.953583
420030802002,15,40.462047,-79.950237
420030802002,15,40.461526,-79.953963
420030804001,282,40.457005,-79.941201
420030804001,85,40.458488,-79.944886
420030804001,85,40.457949,-79.946900
420030804001,73,40.456615,-79.944813
420030804001,70,40.457714,-79.944031
420030804001,70,40.457279,-79.943091
420030804001,39,40.458612,-79.946426
420030804001,35,40.459223,-79.945860
420030804001,35,40.458916,-79.946146
420030804001,29,40.460111,-79.946626
420030804001,29,40.458785,-79.947577
420030804001,29,40.458420,-79.947749
420030804001,27,40.459113,-79.947349
420030804001,26,40.459766,-79.946874
420030804001,24,40.459439,-79.947108
420030804001,16,40.455877,-79.940379
420030804001,15,40.458347,-79.943449
420030804001,13,40.459546,-79.945567
420030804001,8,40.456523,-79.942053
420030804002,121,40.453615,-79.948440
420030804002,94,40.456417,-79.948438
420030804002,90,40.455747,-79.948597
420030804002,76,40.455463,-79.949265
420030804002,61,40.455194,-79.947232
420030804002,61,40.454162,-79.946183
420030804002,60,40.455976,-79.946109
420030804002,60,40.455240,-79.946199
