stop_uuid,gtfs_stop_id,stop_name,lat,lon,wheelchair_boarding
0765f899-05ba-46fc-a888-d8a7d90c1cbe,10969,8TH AVE + RAVINE,40.408717,-79.895468,0
07667514-0c28-426d-8d2e-5f76d302356a,8191,NEGLEY AVE + CENTRE,40.457468,-79.934247,0
0767b586-1079-4b3f-aa90-e565b6607810,8484,SHADY AVE + PHILLIPS,40.432444,-79.918306,0
0769dbad-5436-4a93-9f30-9d413c242c2d,10924,MURRAY AVE + BARTLETT,40.436209,-79.922831,0
077af71a-b772-4c19-b381-165f457d77af,6657,GRANDVIEW AVE + SHALER,40.440396,-80.023224,0
077b9746-cc29-4287-a4d6-fe72416ec692,3678,BROADWAY ST + 13TH,40.474618,-80.079753,0
078444b0-97ab-4714-a820-582280ef4036,22643,VILLAGE DR AT WASHINGTON RD FS,40.342759,-80.059774,0
079cc9de-5ae7-4969-8bbe-95e6ed85cf7c,8895,CENTRE AVE + HERRON,40.448917,-79.96474,0
07a07f87-2f1d-4196-a524-7fe398118bf5,10010298,Pacific Ave + Liberty Ave,40.620090349,-79.72597681,0
07adc58c-25dd-4915-b5dc-8813ec45f009,2735,LOWRIE ST + FLECK,40.465979,-79.980952,0
07bbca09-823b-4066-a7f2-897fc167a3b4,19113,MAIN ST + PENN NS,40.46545,-79.954829,0
07c37c51-0160-42d0-9558-6eae2f2d3b45,4568,BANKSVILLE RD + GOLDSTROM,40.412967,-80.030539,0
07d85f88-90be-480b-b661-d104a4a48386,2826,CHESTNUT ST + SUISMON,40.45618,-79.994962,0
07f0a840-8256-41fa-9336-1df4cb8d0321,248,MCKNIGHT RD + MR TIRE,40.540299,-80.012019,0
07fb7938-47dc-492d-b16b-efef49685256,20551,MONONGAHELA AVE + 4TH ST,40.328943,-79.892465,0
07fe223a-d54c-46e4-85c6-3c80eb9376fc,7639,WILKINS AVE + WORTH,40.446652,-79.912966,0
08087ad9-05f6-427a-bd5b-1aff2d52ba4c,2090,EAST OHIO ST + NASH ST FS,40.453886,-79.998096,0
0812f42a-af5f-4f20-85a9-87c196f8d734,1610,BRIGHTON RD + ACACIA,40.479706,-80.031059,0
08234734-2cdf-44bb-a705-ad3a31f93cd3,1935,CALIFORNIA AVE + FORSYTHE ST,40.470772,-80.03629,0
082fd91b-0444-4aea-9b9e-636c808b4568,18694,MCKNIGHT RD + PERRYMONT FS,40.558341,-80.023342,0
0834dcca-ea2e-48dc-9c54-b32ad6d6ffaf,6260,VANADIUM RD + ELMBROOK,40.369478,-80.085734,0
083a3ac1-4af9-4659-b337-5d0e10034165,20024,HULTON RD + JEFFERSON,40.522957,-79.811691,0
08426728-299e-48c2-a73b-541d4cdf8264,9340,JANCEY ST + STANTON,40.474308,-79.931448,0
08518f53-db57-4727-9ccf-78b6422ff7e1,6742,SOUTHERN AVE + CARFEL,40.420162409,-80.013070439,0
08522608-2d9c-4662-8aab-6b5eaac83f9d,8528,SHADY AVE + SOLWAY,40.442978,-79.920303,0
0857effc-eff8-461f-81eb-f26181ace639,10583,VERSAILLES AVE + MAPLE,40.345531,-79.845792,0
086455f2-b82e-4f54-89f5-7d3af20d7d26,21702,PENN AVE + SCHOOL WAY FS,40.413937,-79.987155,0
087433dd-b733-4835-9d63-b53562194936,10010270,Grandview Ave + Gleason St,40.340492151,-79.836927119,0
